front,back
downstream,"w dół rzeki, następny, po prądzie"
genetics,genetyka
genesis,"geneza, początek, powstanie"
swelling,"obrzęk, opuchlizna, guz, zgrubienie"
beating,"lanie, porażka, bicie"
hatred,nienawiść
manifestations,"objaw, przejaw, objawy, przejawy"
conveyance,"transport, przewóz, przeniesienie własności, nośnik, narzędzie"
nova,nowa
superiority,"wyższość, przewaga"
feast,"uczta, ucztować"
sexuality,seksualność
undergo,"poddać się, przechodzić, doświadczać"
ambitious,ambitny
fantasy,"fantazja, fantazjowanie, wymysł, marzenie, fantastyka, fikcja"
survivors,"ocalony, ocaleni"
scholarly,"uczony, naukowy, akademicki, merytoryczny"
detective,detektyw
accidental,"przypadkowy, niezamierzony, nieumyślny"
delighted,"zachwycony, uszczęśliwiony"
athletic,"atletyczny, sportowy, wysportowany"
rationale,"uzasadnienie, racja, motywacja, przyczyna"
tractor,"ciągnik, traktor"
sheer,"cienki, przejrzysty, stromy, czysty, absolutny"
kindness,"życzliwość, uprzejmość, dobroć"
graves,groby
behave,"zachowywać się, postępować"
persuaded,"przekonał, przekonany"
tentative,"próbny, wstępny, orientacyjny, niepewny, nieśmiały"
aboard,"na pokładzie, wsiąść na pokład, na pokład"
orderly,"sanitariusz, ordynans, porządny, spokojny, zorganizowany"
tile,"kafelek, dachówka, płytka, kafelkować"
tense,"napięty, czas, spięty, nerwowy, napiąć, naprężyć,"
enthusiastic,"entuzjastyczny, zapalony"
solidarity,solidarność
jazz,"jazz, dżez"
punished,ukarany
hammer,"młotek, przybijać"
foolish,"niemądry, głupi"
interact,oddziaływać
bonding,"wiązanie, przywiązanie"
inorganic,nieorganiczny
miracle,cud
debris,"gruz, szczątki"
admiration,"podziw, zachwyt, admiracja"
frustration,frustracja
cage,klatka
plug,"wtyczka, korek, zatykać"
deserves,"zasługiwać na, być wartym"
submarine,okręt podwodny
highlights,"najważniejsze punkty, atrakcje, podkreślać, uwydatniać, eksponować"
spiral,"spirala, spiralny, poruszać się spiralnie, gwałtownie wzrastać"
fond,"czuły, kochający, lubić"
absorb,"wchłaniać, pochłaniać, absorbować, przyswajać"
moss,mech
flavor,"smak, aromat, zapach, odmiana, wersja, przyprawić, dodawać smaku"
spelling,"ortografia, pisownia"
examines,"badać, sprawdzać, analizować, egzaminować"
beast,"bestia, zwierzę, potwór, bydlę"
acquaintance,"znajomy, znajoma, znajomość"
genera,rodzaje
assignor,"zbywca, cedent"
ladder,"drabina, drabinka"
scared,"przestraszony, wystraszony, zalękniony"
arabia,Arabia
imaginary,"wyimaginowany, urojony, nierealny"
tablets,"tabletki, pastylki, tablety"
brotherhood,"braterstwo, bractwo"
documentary,"dokumentalny, dokumentacyjny, dokumentować, udokumentować, film dokumentalny"
overnight,"nocny, całonocny, nocą, z dnia na dzień"
pharmacy,"farmacja, apteka"
vacancy,"wakat, wolne stanowisko, wolny etat, wolny pokój"
nationalist,"nacjonalista, nacjonalistyczny"
emphasizes,"podkreśla, akcentuje, uwydatnia, eksponuje"
proclaimed,"ogłosić, proklamować, ogłaszać, okrzyknąć"
dynasty,dynastia
journalists,"dziennikarze, dziennikarki"
penny,"pens, grosz"
cliff,"klif, urwisko, skarpa"
manifested,"manifestować, objawiać, ujawnić, przejawić, objawić się"
dialog,"dialog, rozmowa, okno dialogowe, dialogowy"
declares,"deklarować, ogłaszać, oznajmiać, stwierdzać"
attendant,"bileter, administrator, asystent, posługacz, opiekun, towarzyszący, obsługujący"
beard,"zarost, broda"
noticeable,"zauważalny, godny uwagi, dostrzegalny, wyczuwalny"
curtain,"zasłona, kurtyna"
progression,"postęp, progresja, ciąg"
bin,"kosz, kosz na śmieci, pojemnik, wyrzucać, binaryzować"
abandonment,"porzucenie, opuszczenie, rezygnacja, zrzeczenie się, wyrzeczenie się"
resembles,"przypominać, być podobnym"
antitrust,"antytrustowy, antymonopolowy"
departed,"zmarły, nieboszczyk, nieboszczka, miniony, niegdysiejszy"
bunch,"wiązka, pęk, kiść, grono, garść, pęczek, snop, wiązanka, bukiet, gromada, kupa, paczka, pakiet, zgraja, banda, stek, zbierać, skupiać"
vivid,"żywy, obrazowy"
creator,"twórca, stwórca"
deleted,"usunięty, skasowany, wykreślony, zlikwidowany"
graduation,"ukończenie studiów, absolutorium, ceremonia rozdania dyplomów, graduacja, podziałka, stopniowanie, kalibrowanie, cechowanie"
pork,wieprzowina
resemble,"przypominać, być podobnym do, być podobnym"
accountant,"księgowy, księgowa"
deadly,"śmiertelny, śmiercionośny, śmiertelnie"
inscription,"napis, inskrypcja, dedykacja"
insane,"obłąkany, niepoczytalny, chory umysłowo"
delightful,"zachwycający, wspaniały, rozkoszny"
calf,"łydka, cielę, cielak, słoniątko, młode wieloryba, skóra cielęca"
hut,"chata, szałas"
upwards,"w górę, ku górze"
supportive,"wspierający, wspomagający, pomocny"
carpet,"dywan, wykładzina, kobierzec"
liquidation,"likwidacja, upłynnienie, spieniężenie, zbycie, sprzedanie"
misery,"cierpienie, niedola, smętność, nędza, bieda"
slightest,"najmniejszy, ani trochę, odrobina"
casualty,"ofiara, poszkodowany, strata"
taxed,opodatkowany
sunset,"zachód słońca, wieczorny"
dial,"wykręcać numer, wybierać numer, tarcza, pokrętło, tarcza telefonu"
regeneration,"regeneracja, odtworzenie, odnowienie, odrodzenie, odnowa, odzyskiwanie"
disagreement,"niezgoda, rozbieżność, różnica zdań, sprzeczka, nieporozumienie"
unrelated,"niezwiązany, niepowiązany, niespokrewniony"
polymers,"polimer, polimery"
goddess,bogini
judgement,"osąd, wartościowanie, sąd, ocena, wyrok, decyzja"
depot,"skład, hurtownia, magazyn, stacja, dworzec kolejowy, dworzec autobusowy"
fountain,fontanna
upstream,"pod prąd, w górę, dopływowy, wydobywczy"
dwellings,"mieszkania, domy, miejsca zamieszkania, lokale, siedziby"
neighbourhood,"sąsiedztwo, okolica, otoczenie, dzielnica"
damp,"wilgoć, wilgotny, zwilżać, ostudzać"
incredible,"niewiarygodny, niesamowity, wspaniały"
disappointment,rozczarowanie
variant,"odmiana, wariant, różny, odmienny"
purified,"oczyszczony, oczyszczony, oczyścić, oczyszczać"
importation,"importowanie, import, przywóz"
incidentally,"nawiasem mówiąc, przy okazji, przypadkowo"
elbow,"łokieć, rozpychać się łokciami"
heavenly,"niebiański, boski, rajski, wspaniały"
warranty,gwarancja
irrespective,"niezależny ,bez względu na, niezależnie"
underneath,"pod, pod spodem, poniżej"
transitional,"przejściowy, pośredni"
brazilian,"brazylijski, Brazylijczyk"
wrist,nadgarstek
reef,"rafa, skała podwodna, rafa koralowa"
sometime,"kiedyś, niegdyś, dawniej, okazjonalny"
northeastern,północno-wschodni
bullet,"pocisk, kula, punktor"
oneself,"siebie, sobie, sam"
meditation,medytacja
admiralty,admiralicja
oppression,"ucisk, prześladowanie, opresja"
slot,"otwór, gniazdo, szczelina, okienko, miejsce, stanowisko, wkładać, pasować"
conduction,"przewodnictwo, przewodzenie"
potter,garncarz
miserable,"nieszczęśliwy, przygnębiony, ponury, nędzny, opłakany, lichy, żałosny, zrzędliwy, marny"
sept,"klan, odłam, ród"
fancy,"fantazyjny, dekoracyjny, ekstrawagancki, wyszukany, wymyślny, fikuśny, fantazja, wyobraźnia, upodobanie, kaprys, mieć ochotę, wyobrażać sobie"
recordings,nagrania
whichever,"którykolwiek, jakikolwiek"
pie,"ciasto, placek, pasztecik, pizza"
indifference,obojętność
registry,"rejestr, rejestracja, urząd stanu cywilnego"
ridiculous,"absurdalny, śmieszny, idiotyczny, żałosny"
nails,"paznokcie, gwoździe"
hatch,"właz, luk, okienko, wykluwać się, wylęgać się, knuć, intrygować"
occupies,"zajmuje, okupuje"
relies,"polegać na, polegać"
aloud,"głośno, na głos"
orbital,"orbitalny, objazdowy, okrężny, obwodnica"
inward,"do środka, wewnątrz, wewnętrzny, skryty"
emerges,"pojawiać się, wyłaniać się, wynurzać się"
horrible,"straszny, okropny"
greenhouse,"szklarnia, cieplarnia"
sleeve,rękaw
warrior,wojownik
safeguards,"zabezpieczenia, środki ochronne"
prosperous,"pomyślny, prosperujący, bogaty, kwitnący"
nonsense,"nonsens, bezsens, bzdura"
appetite,apetyt
spectacular,"widowiskowy, spektakularny"
traction,"siła, pociągowy, ciągnięcie, pociąg, atrakcyjność, trakcja, przyczepność, wyciąg ortopedyczny"
endure,"znosić, wytrzymywać, przetrwać, trwać"
analysed,"analizowany, przebadany, rozpatrzony"
splitting,"dzielenie, rozdzielanie, rozszczepianie"
teachings,"nauczanie, doktryna, nauki, przesłanie"
bubble,"bańka, pęcherzyk, bąbelek"
ration,"racja, racjonować, wydzielać, przydzielać"
experimentally,eksperymentalnie
thunder,"grzmot, huk, grzmieć"
accession,"przystąpienie, akcesja, objęcie tronu, objęcie stanowiska"
sweat,"pot, pocić się"
misconduct,"niewłaściwe zachowanie, wykroczenie, występek, złe postępowanie"
extinction,"wymieranie, ekstynkcja, wyginięcie, wygaśnięcie, umorzenie"
flock,"stado, ptactwo, parafia, tłum, gromadzić się"
accomplishments,"osiągnięcia, dokonania"
enquiry,"zapytanie, dochodzenie, śledztwo, zasięganie informacji"
coli,pałeczka okrężnicy
monks,"mnich, mnisi"
